                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.7768,                   4.17,                 1.6478,                0.03371,                 0.0625,                0.01898,                0.00757,                 1.8032,                 4.0159,                 1.2699,                 0.0991,                 0.0001,                 0.0001
                      1,                 2.5955,                 4.0911,                 1.5905,                0.03597,                0.06636,                0.02033,                0.00853,                 1.7254,                 3.9879,                 1.2426,               0.097285,             0.00028515,             0.00028515
                      2,                 2.3605,                  4.107,                  1.461,                0.03409,                0.05823,                0.01921,                0.00774,                 1.6362,                  3.951,                 1.2055,               0.095451,              0.0004505,              0.0004505
                      3,                 2.0166,                 4.0306,                 1.3912,                0.03975,                0.06447,                0.02356,                0.00891,                 1.4947,                  3.895,                 1.1484,               0.093596,             0.00059605,             0.00059605
                      4,                 1.9645,                 3.9872,                 1.3415,                0.04317,                0.06848,                0.02605,                0.01043,                 1.4398,                 3.8588,                 1.1219,               0.091722,              0.0007218,              0.0007218
                      5,                 1.9752,                  3.927,                 1.3092,                0.03789,                0.05574,                0.02193,                 0.0096,                 1.3828,                 3.8202,                 1.0926,               0.089828,             0.00082775,             0.00082775
                      6,                 2.1124,                 3.8848,                 1.2889,                0.03755,                0.05416,                0.02187,                0.01005,                 1.3351,                 3.7809,                 1.0728,               0.087914,              0.0009139,              0.0009139
                      7,                 1.7862,                 3.8224,                 1.2245,                0.04138,                0.06025,                 0.0243,                0.01136,                 1.2793,                 3.7396,                 1.0531,                0.08598,             0.00098025,             0.00098025
                      8,                 1.4439,                 3.7558,                 1.1961,                0.03848,                0.05579,                0.02233,                0.01092,                 1.2555,                 3.6981,                 1.0501,               0.084027,              0.0010268,              0.0010268
                      9,                  1.449,                  3.683,                 1.1453,                0.03223,                0.04894,                0.01807,                0.00957,                 1.2369,                 3.6462,                 1.0476,               0.082054,              0.0010536,              0.0010536
                     10,                 1.6185,                 3.5825,                  1.146,                0.03097,                0.04671,                0.01725,                 0.0095,                 1.2382,                 3.6029,                 1.0493,               0.080061,              0.0010605,              0.0010605
                     11,                 1.3185,                  3.498,                 1.1052,                0.03097,                0.04671,                0.01725,                 0.0095,                 1.2382,                 3.6029,                 1.0493,               0.078048,              0.0010477,              0.0010477
                     12,                 1.2734,                 3.4453,                 1.0869,                0.03759,                0.05574,                0.02168,                0.01268,                 1.2301,                 3.5561,                 1.0505,               0.076015,               0.001015,               0.001015
                     13,                 1.3432,                 3.4087,                 1.0811,                0.06483,                0.09594,                0.04153,                0.02349,                  1.225,                 3.5018,                 1.0502,               0.073963,             0.00096255,             0.00096255
                     14,                 1.3867,                 3.3045,                 1.0545,                0.06483,                0.09594,                0.04153,                0.02349,                  1.225,                 3.5018,                 1.0502,                0.07189,              0.0008903,              0.0008903
                     15,                 1.3029,                  3.275,                 1.0837,                0.06275,                0.08934,                0.03978,                0.02034,                 1.2232,                 3.4478,                 1.0505,               0.069798,             0.00079825,             0.00079825
                     16,                 1.2079,                  3.231,                 1.0852,                0.06659,                0.09659,                0.04294,                0.02269,                 1.2122,                 3.3834,                 1.0449,               0.067686,              0.0006864,              0.0006864
                     17,                 1.4497,                 3.1075,                 1.0606,                0.06659,                0.09659,                0.04294,                0.02269,                 1.2122,                 3.3834,                 1.0449,               0.065555,             0.00055475,             0.00055475
                     18,                 1.4579,                 3.1122,                 1.0767,                0.05828,                0.08152,                 0.0363,                0.01894,                 1.1996,                 3.3263,                 1.0417,               0.063403,              0.0004033,              0.0004033
                     19,                 1.3289,                 3.0567,                 1.0818,                0.05828,                0.08152,                 0.0363,                0.01894,                 1.1996,                 3.3263,                 1.0417,               0.061232,             0.00023205,             0.00023205
